title,subtitle,descr,created_at
How to converge on a proper sleep cycle,"","<p>- Use melatonin. I started with one pill per day, now I'm at two. It works pretty well, I fall asleep easily. I also use ear plugs when sleeping.<br />- determine how much you have to sleep - it could be over 8 hours, it could be 9 hours daily - and sleep exactly that amount<br />- schedule things for early morning<br />- remove unnecessary distractions. This includes things like imgur, facebook, anything that you do not think of as competitive. This will have the effect of improving your waking life, but the side effect is that structuring your waking life will improve your sleep, as well.<br />- Get tired during the day! ;-) Physical exercise makes you good tired and looking forward to healthy night sleep.</p>",2016-02-09 21:28:14 UTC
Male to Female Ratio in All Cities,Considering moving to a different city or state? Looking to inquire upon the dating scene? Looking to find out the male to female ratio in any city? Then this advice is for you!,"<p>I juuust found this interesting resource, which looks accurate: http://maletofemaleratio.com .</p>
<p>I was looking into this question (hey, I'm nearing 30. I'm growing old. I'm allowed to be concerned). I knew that California has it pretty badly: all the engineers swarm into the San Francisco Bay Area, so it's all guys and not enough girls. At least, that's how it feels. From this point of view, Los Angeles should be better because all the actresses swarm in, and it's all girls and not so much guys, riiight? So let's verify.</p>
<p>San Jose http://www.maletofemaleratio.com/wiki/california-CA/San_Jose.htm</p>
<ul>
<li>The male to female ratio is 100:97, and the female to male ratio is 103:100.</li>
<li>The male population is 472,494, and the female population is 457,699.</li>
<li>There are 14,795 more males than females in San Jose; in percentage terms, there are 3.13% more males than females.</li>
<li>The median male age is 33.18 years, and the median female age is 34.69 years.</li>
<li>The average household income in San Jose is $71,404, and the average house value is $422,282.</li>
<li><em>Source: U.S. Census Bureau Data</em></li>
</ul>
<p>Los Angeles http://www.maletofemaleratio.com/wiki/california-CA/los_angeles.htm</p>
<ul>
<li>The male to female ratio is 100:101, and the female to male ratio is 99:100.</li>
<li>The male population is 1,173,364, and the female population is 1,182,630.</li>
<li>There are 9,266 more females than males in Los Angeles; in percentage terms, there are .78% more females than males.</li>
<li>The median male age is 31.77 years, and the median female age is 33.46 years.</li>
<li>The average household income in Los Angeles is $33,790, and the average house value is $289,380.</li>
<li><em>Source: U.S. Census Bureau Data</em></li>
</ul>
<p>Indeed! LA has more girls than guys, probably for the reason I stated above. And, you can look up any other city for this information. Additionally, you may mine this data yourself from the U.S. Census Bureau Data.</p>",2015-10-06 20:09:32 UTC
Beginner/Intermediate studio setup and camera setup (my personal preference),"Theory of Photography. I'd like to take a moment today to give out a brief list of items on which you can spend your money, to have a minimal studio, and a camera setup (my personal, biased preference) with which you can take on quite a number of photography tasks and subjects.","<p>What I have not looked much into is portable strobe lighting (what people would call `flash`). It is non-trivial, and immensely useful, to be able to use flash to photograph subjects such as people - and not have to carry a whole studio with you. So, other people will give you better advice than I can, on how to do this. I historically shoot mostly without flash, so I do my hardware selection based on this preference.<br /><br />I also have a strong preference to rangefinders over SLRs (single lens reflect, a type of camera. The digital SLRs are called DSLRs). With that in mind... here is my camera setup:<br /><br />X-E1 with 18mm lens.</p>
<p><img style=""border: 1px solid black;"" src=""http://s3.amazonaws.com/ISh-development/photos/large/524251ca533e8cdeac00000b/xe1.jpg?1380078019"" alt="""" width=""528"" height=""352"" /></p>
<p><br /><br />Purchased separately in 2013 (from Ebay or Amazon), they will run you up about $1700 including tax. I strongly recommend purchasing warranty also (from square trade), to give you a peace of mind. You don't want to be running around with a hugely expensive camera and worry about it all the time. Worry about the quality of your pictures instead! Be free!<br /><br />It may not look so, but a prime fast wide lens is the single most useful lens you can have. Prime means, no zoom. Fast means, large aperture opening (f/2 on this 18mm), which means you can shoot in the dark with no flash. And a rangefinder as opposed to a DSLR means that the cameara is light and compact - with still all the professional features that you expect from a DSLR. In fact, the designers at Fuji have done a great job in terms of usability, so I am happy to say that the X-E1 is well-designed! It gives you a variety of color options (film simulation), three different aspect ratios (try shooting square aspect ratio - it's great for portraits), full HD video, old-school controls that are fast and intuitive to use, 6 frames per second continuous shooting...<br /><br />The only disadvantage to the camera that I can think of is, it focuses rather poorly. And it is not designed to be manually focused (although you can, it is not the simplest/fastest thing in the world). So you will have to always be mindful of your focusing, while shooting. I find this to be an acceptable trade-off for the camera. I love the small size of X-E1, and I am careful about focus so I'm okay with the slow-inaccurate autofocus, I know how to use it.<br /><br />That's it! On to basic lighting equipment. I wrote in the title basic / intermediate, and that is correct. A photographer who knows what he is doing will take advantage of the same setup as the beginner setup, and have great success with it. So let's get to it.<br /><br />The single most important piece of lighting equipment you can get is a 5-in-1 reflector. I got me something like this: <a href=""http://www.amazon.com/Fotodiox-Premium-Grade-Professional-Collapsible-Reflector/dp/B003Y2KC7W/ref=sr_1_2?ie=UTF8&amp;qid=1380078397&amp;sr=8-2&amp;keywords=5+in+1+reflector"">http://www.amazon.com/Fotodiox-Premium-Grade-Professional-Collapsible-Reflector/dp/B003Y2KC7W/ref=sr_1_2?ie=UTF8&amp;qid=1380078397&amp;sr=8-2&amp;keywords=5+in+1+reflector</a></p>
<p><img src=""http://s3.amazonaws.com/ISh-development/photos/large/52425371533e8c5d58000006/reflector.jpg?1380078444"" alt="""" width=""524"" height=""560"" /><br />You will need an assistant to use it, but it is great. It is mobile, requires no batteries, and it can either remove shadow, add shadow, remove highlight, or add highlight - a very versatile thing when shooting portraits, even on the go!<br /><br />Next, you need a backdrop. The backdrop itself, and a stand for it. In 2013, that may run you up about $80.</p>
<p><img src=""http://s3.amazonaws.com/ISh-development/photos/large/52425464533e8c5d58000008/backdrop.jpg?1380078686"" alt="""" width=""400"" height=""400"" /></p>
<p>Next, you will need strobe lights! That's about $300 and well worth it if you are going to be doing portraits. A 750W setup is good enough: <a href=""http://www.amazon.com/Professional-Photographic-Studio-Strobe-Flash/dp/B003LYURRI/ref=sr_1_2?ie=UTF8&amp;qid=1380079158&amp;sr=8-2&amp;keywords=strobe+lights+750w+photography"">http://www.amazon.com/Professional-Photographic-Studio-Strobe-Flash/dp/B003LYURRI/ref=sr_1_2?ie=UTF8&amp;qid=1380079158&amp;sr=8-2&amp;keywords=strobe+lights+750w+photography</a> You need three lights really: one primary for the face, one modifying for the face (to make the shadows less), and one for the background. Or, two lights for the face and one for backlight. Three lights turn out to be very useful. You need more than 2, and if you get 4 you may not use the 4th very often, so 3 is a good number to get.</p>
<p><img src=""http://s3.amazonaws.com/ISh-development/photos/large/524256a8533e8c30fe00000d/strobes.jpg?1380079267"" alt="""" width=""500"" height=""466"" /><br /><br />That's it! The most expensive thing is the camera and the lens. I strongly recommend sticking to prime lenses. Having the ability to zoom will actually distract you from taking good pictures. Next, a $50 reflector is the best use of $50, and if you have about $300 of 2013 money, you can start building your studio by purchasing a set of three strobe lights. Oh, make sure that your set comes in its own bag, which is extremely useful. Then, you can get a $80 background but you really don't have to - just be creative with your backgrounds. But if you have come this far, you'll probably end up with a background. And lastly - enjoy taking photos, and photograph every day! ^__^<br /><br />Related gallery: <a href=""http://piousbox.com/en/galleries/show/2013-photo-equipment/0"">http://piousbox.com/en/galleries/show/2013-photo-equipment/0</a></p>",2013-09-25 03:30:49 UTC
 Not all things are forgiven ,Not all relationships can be salvaged after infidelity.,"<p>Not all relationships can be salvaged after infidelity. It seems in our society that a lot of couples tend to &ldquo;work things out&rdquo; and move on, forget what had happened and start a fresh page. Not always. Sometimes sleeping with someone other than your gf/bf is the end no matter how much you try to tell yourself that you can get over the fact or try to think of the happy days you experienced. A friend of mine opened up recently about how his wife of 10 years had an affair. Women are just as guilty. The true answer is why &ldquo;cheating&rdquo; when you know the consequences? Her excuse was that she lacked attention from her then husband, who worked two jobs to support his family and put his daughter through college. Than tell me, what is the urge for betrayal knowing all of that could be lost and the family split? If you were truly unhappy why not speak, talk, tell him how you feel and what you lack, what you desire, tell him the truth. Sleeping with another person will not solve problems in your current relationship; it will not form a stronger bond and bring you closer together. It will either drive you far away from each other or teach you to forever doubt the other person. As my friend started to sense his wife&rsquo;s infidelity perhaps her conscious began to speak. He heard her conversation, read her text messages, and even saw pictures that were not meant for anyone else but her husband, being shared between the two. One night, after her escapade with the non-husband my friend asked her if she wanted to hear a tape he had recently come across which was a phone conversation between her and the other man. She realized what was happening and after an hour of silence came up to her husband and confessed of having an affair. Two kids, 10 years of a relationship, fights, happy days, wild sex, cuddling nights, crying together, experiencing any and every possible emotion that the world can bring and challenge a human being vanquished. The true question is why. Lack of attention is not a reason. It is important to realize that after the line of infidelity has been crossed it may not work out between you and your spouse/bf/gf. Things may not be the same, ever. Will you tell them that you love them? Love is not everything anymore; love is a component of a relationship, there are other factors that play a role such as trust, appreciation, respect. All of those are lost after unfaithfulness. Is it worth it? Was it worth it? My friend tried to stay with his wife, but the pain could not be overcome by him nor perhaps any other man (or woman). When it comes to infidelity it is crucial to realize that your actions may be the end of the relationship. The relationship that you have put time and energy into, the relationship that also involved another human being and their feelings, that even though you will be the one committing the action, the consequences will be felt by your significant other as well. Realize that after one is unfaithful it may not work out any more. Your partner may try to move on and forget of what you did, but it will not be the same. Not all people are capable of forgetting how they&rsquo;ve been hurt by the person that they believed were purely there for them.</p>",2013-05-06 00:06:02 UTC
An unlikely visitor,"","<p>My first visit. It takes four and a half hours to drive from Chicago to Pinckneyville. I woke up at 6am and decided not to shower, not eat breakfast just a cup of coffee and straight to my car. I was eager to visit and actually see him face to face rather than a phone conversation like it has been for the past five months. I had no expectations for the people working at the prison, people living around the area or him. I drove and drove, speeding wanting to get there as quickly as I could. Indeed it took me exactly four hrs and thirty some minutes to reach the exit that I needed to take. And I did, it was approximately another 30 miles to the prison. I drove slowly absorbing every little thing the town had to offer, and it wasn&rsquo;t much. Everything looked empty; houses were half a mile apart from each other if not more. There were no people walking around, cars were broken, the small stores available were shut down already. Every house had a chair or a bench in the front porch, as it was the only source of human interaction in the whole place, if anyone ever sat in those chairs to begin with. Continuing down the road I saw the prison. It looked exactly like a typical prison you would see in a movie. My lack of expectation for the prison was reinforced. I parked my car and was quickly informed that this &ldquo;was not visitors parking&rdquo; even though the whole parking lot was empty. So, I re parked my car, left everything besides my ID and $20 and headed towards the building, quickly. There was nobody outside, perhaps because it was cold out, or maybe<em> they</em> never get to go outside. I walked in and was quickly greeted with a dirty look by the correctional officer. I waited and waited and then waited some more, sitting there thinking of how strange it would be to live here, in the middle of nowhere, and what? Work at a prison? Do people know that there are better places out there, more interesting cities or is this &lsquo;okay&rsquo; and I&rsquo;m a stuck up city girl? Who knows but as eager as I was to get there, I was more anxious to leave. Patted down, half undressed and every cavity checked I was escorted to the visiting room. More of a high school type lunch room with octagonal tables bolted down to the floor and four benches attached to it and lots of vending machines (where my $20 came in handy), later found out were mostly empty. I was told where to sit and how to behave. I sat there and waited some more, I was bored and perhaps getting a little nauseous. I saw him come out and walk to check in with the guard and wanted to get up and leave. There he was, in navy blue uniform pants, and a light blue collar shirt with a name tag that said INMATE. It was repulsive and I wanted to disappear from there more than anything else. We hugged, and sat down&hellip; since then I have went back to that place more than four times, more than anyone should ever.</p>
<p>&nbsp;</p>",2013-04-30 16:39:45 UTC
Travelling on the budget: hostel v hotel. Which is better?,"Where to stay in a big city, any city - a hostel or a hotel?","<p>If you are under 35, and you are traveling to a relatively well-known city, a relatively large city, chances are there will be a bunch of hostels available. Hostels are different from hotels in several important ways. You do not get so much privacy, so if you are traveling with your significant other, perhaps it is not the best option ever. Although, there are hostels that provide private rooms and private doubles, perfect for couples.<br /><br />Cleanliness is also not going to be world-class. On average, a hostel is dirtier than a hotel. That is offset, however, by the price. A hostel is almost always cheaper than the hotel, so if you are traveling on the budget, it may be just the thing.<br /><br />Some people have a certain prejudice against hostels in that they think hostels are not safe. In my experience, although there can be plenty of thefts (why are you traveling with expensive shit and why are you not watching your shit?), overall hostels are pretty safe. Most of them provide lockers so you can put your laptop/passport in there, and you can use the backpack as your pillow, and when you travel you should be experienced in taking care of your stuff. That said, everything else regarding safety is good. There are no fights and no assaults - a hostel is just another place to stay, on the budget.<br /><br />The best part of staying in the hostel, however, is when it comes to nightlife and drinking/entertainment. You can meet a lot, no really, a lot of people in hostels. And everybody party. In fact, a lot of hostels are undesireable for me and for a lot of other travelers if the hostel is clean but not much social interaction going on. I personally tend to avoid such places - they are just like hotels for me, kind of boring. And I travel really light, so there isn't much to steal from me. <br /><br />So overall if you have never considered staying at a hotel, I suggest giving it a try. The best hostel site in USA is perhaps hostelworld.com, though it is by no means complete or the cheapest. But it will take care of 95% of your hostel needs.<br /><br />That about sums up my opinion on hostels vs hotels. Stay safe, and travel more!</p>",2013-04-24 07:06:36 UTC
What gear should I have riding in the city,An intermediate rider explains his gear set for daily riding in the city.,"<p>&nbsp;</p>
<p>My current residence is San Francsico (which means that I don't have to worry about snow, black ice, or starting a bike in dead cold) and I have been riding since 2009. Here, the helmet is not optional, it is legally required. Other gear -- well, I have seen and hear more than one opinion on what gear is necessary and what gear is silly/excessive, and I would like to share my own. The boil-down description of my gear set is: as much as possible that you can be comfortable with. There are some tricks, however, read more to discover ;-)<br /><br />To begin: the helmet. Very important, you probably don't need the most expensive one, but you should also not get the cheapest. Full-face helmet it should be. It should fit SNUGLY, which is important for safety. If you jerk your head left and right the helmet should not move much on the head. This guarantees that upon impact your head will not be bouncing inside the helmet, causing damage to your precious brain/skull.<br /><br />[pic]<br /><br />Next: and here is the trick number one. Security camera. The cops are infinitely more respectful if there is a camera pointed at them. I have this Contour Roam, which I highly recommend. It mounts well, gives good quality, and is waterproof (yeah I took it to a mountain waterfall, it really is waterproof). Besides, when you get pulled over, at least you will have some evidence for the court and maybe an interesting video to put on youtube, you never know.<br /><br />[pic]<br /><br />Next: Jacket. I have this one from Sedici. Waterproof, ventilated, with winter layer. It is a bit too hot in California on a sunny day, however I pulled all-nighters in it very very comfortably and I think it is worth it to carry it around (the weight!) and sweat in it. I used to debate: jacket or no jacket? The debate have been solved, and I wear jacket at all times regardless of trip duration or destination. Going clubbing, I put the jacket in coat check ($3). And if I must sweat in it, it is still okay because I know that if I have to ride home at 2am in pouring rain, I will actually be okay.<br /><br />[pic]<br /><br />Next: these waterproof pants ($20) are largely not used, however if I am riding out in pouring rain, I put these on over jeans or whatever. So I use them very very rarely but I think it is a good idea to have them.<br /><br />[pic]<br /><br />Next: And here is the trick number two: knee caps from a dirt setup. You can wear them under your jeans/pants. The way I ride I am not always most careful, and I don't want to have knee surgery if I fall. And also I don't want to wear horribly hot racing pants. Regular pants with these knee protectors do the trick.<br /><br />[pic]<br /><br />Next: Boots. Here is a picture of a scar I got from riding.<br /><br />[pic]<br /><br />You can see it is above the boot line... I was not wearing the boots when I got the scar, maybe they would help, maybe not. But, after getting this scar, I always wear boots when I ride. These boots are pretty cheap and my advice is that on other than first pair, do not spend less than $100 on boots.<br /><br />[pic] <br /><br />gloves. This is pretty standard.<br /><br />[pic]<br /><br />I bought a cellphone holder for the gas tank. I use it when I must be checking the GPS.<br /><br />[pic]<br /><br />tire pressuge gauge. Check your tires once a month. Correct pressume means better gas mileage and fewer tire replacements, which saves money and inconvenience.<br /><br />That is all, folks!<br /><br />[pic of myself]</p>",2013-04-21 22:34:14 UTC
Where to go out in San Francisco (Part I),"A friend of a friend just moved to San Francisco from Chicago (Yay!) and is looking for places to hang out and things to do... He is looking for many things, really. But in particular, where to go out.","<p>&nbsp;</p>
<p><br /><br />From the top of my head I can think of the following: Post &amp; Polk, the North Beach area, 11th street and Mission, Ashbury Height, and the Mission (16th and Mission).<br /><br />See the map for details! ;-)<br /><br />&nbsp;* Post and Polk<br />&nbsp;* North Beach<br />&nbsp;* clubs downtown</p>
<p>&nbsp;* 1015 Folsom</p>
<p>&nbsp;* Temple</p>",2013-04-11 02:41:35 UTC
Three Spiders,This is a story about little things.,"<p>&nbsp;</p>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">Once I was living in Ann Arbor, MI in a shared house and there in the shower there was a spider hanging out, in the corner of the ceiling and two walls. I figure, the moisture in the air has enough appeal to him that he would stay there, and if you look from that corner outwards, there is not much motivation to go anywhere because hey, the walls are the same, so going anywhere, moving your limbs, is just spending energy unnecessarily, yes?</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">&nbsp;</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">So he would just hang out there (oh, it was winter time) and I would look at him every time I take a shower, like whatever. Then a few months later there was another spider next to the first one, I guess they had the same logic/instincts driving them when they took whatever path through the house to end up in that particular spot, on the ceiling of the shower. And with that second spider there I notice how much skinnier the first one is. They are probably the same species and the first one was thin thin thin, perhaps it was already dead by then, whereas the second spider was healthy-looking. So for the next days and days I would look at them two spider there - and the second spider as well as the first one had no reason to go anywhere else, they just spent all the time in that corner, on the ceiling - and as I looked at them I thought, well the second spider is going to starve and die just as the first.</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">&nbsp;</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">Years later, in San Francisco Bay Area I am living in a house and I notice a spider in the ceiling corner of the bathroom there, and I am thinking - okay he is there, the environment is non-threatening, but if he does not move away he is going to die, yes? I want to check if he is still alive so I blow air on him to see if his limbs move more than the flow of air would cause. And the spider does move, he shakes his legs in what appeared to me as a sign of displeasure.</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">&nbsp;</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">Every time I used the bathroom I would blow air on the spider or agitate him in some way to remind him that he is still alive, to remind him of the flow of time, and of that he does not have to be there forever.</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">&nbsp;</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">Then one day I see the spider more or less on his feet, not walking around but at least he is standing in a pose that would let him use this limb strength for motion. It's a bit hard to explain... It is as if when the spider is resting, he is laying down, his legs are not bearing weight. When he stands up, his legs are bearing weight and it is more stressful, more energy consuming, but he is ready for motion.</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">&nbsp;</div>
<div style=""font-family: '.Helvetica NeueUI'; font-size: 18px; line-height: 24px; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.296875); -webkit-composition-fill-color: rgba(130, 98, 83, 0.0976563); -webkit-composition-frame-color: rgba(191, 107, 82, 0.496094);"">And a few days later the spider was gone. I don't know what happened, maybe he fell and was squashed by one of the other tenants, but I like to think that he became sufficiently aware that staying in that bathroom corner is a slow hunger death, and he left.</div>",2013-03-24 04:04:32 UTC
Chicago: Winding Up in the Windy City,"When you hear the phrase ‘NBA’s Bulls’, ‘Murderesses Roxie Hart and Velma Kelly’, ‘Illinois’s most populated city”, or ‘windy city’, isn’t it that all you can think of is Chicago? And instead of just thinking about Chicago, why don’t you just pack up and get your feet land into this world-class city?","<p>&nbsp;</p>
<p class=""MsoNormal"" style=""text-align: center;"" align=""center"">&nbsp;</p>
<p class=""MsoNormal"" style=""text-align: justify;"">When you hear the phrase &lsquo;NBA&rsquo;s Bulls&rsquo;, &lsquo;Murderesses Roxie Hart and Velma Kelly&rsquo;, &lsquo;Illinois&rsquo;s most populated <span class=""GRcorrect"">city</span>&rdquo;, or &lsquo;windy city&rsquo;, isn&rsquo;t it that all you can think of is Chicago? And <span class=""GRcorrect"">instead</span> of just thinking about Chicago, why don&rsquo;t you just pack up and get <span class=""GRcorrect"">your</span> <span class=""GRcorrect"">feet</span> land <span class=""GRcorrect"">into</span> this world-class city?</p>
<p class=""MsoNormal"" style=""text-align: justify;"">Here&rsquo;s the deal: You get to <span class=""GRcorrect"">experience</span> an American life of endless possibilities in Chicago while I take <span class=""GRcorrect"">care</span> of your bucket list and compass, fair?</p>
<p class=""MsoNormal"" style=""text-align: justify;""><strong>Transportation</strong></p>
<p class=""MsoNormal"" style=""text-align: justify;"">Well, unless you have wings, <span class=""GRcorrect"">knowing</span> how to get there and around the area is a must. You can arrive directly <span class=""GRcorrect"">at</span> Chicago via air trip at O&rsquo;Hare International Airport, which is one of the <span class=""GRcorrect"">largest</span> airports in the world, and Midway International Airport, which is <span class=""GRcorrect"">located</span> 10 miles from Chicago&rsquo;s downtown. Also, Go Airport Express and the Van Galder Bus <span class=""GRcorrect"">offer</span> airport transfers to and from your hotel.</p>
<p class=""MsoNormal"" style=""text-align: justify;"">If you prefer riding through <span class=""GRcorrect"">rails</span> or trains, you have a choice between Metra Commuter Rail and Amtrak. It <span class=""GRcorrect"">will</span> be cheaper and more convenient to go around Chicago through the Metra as <span class=""GRcorrect"">it</span> is the sister company of Chicago Transit Authority and the single journey ticket only costs as low as $2.75 to as high as&nbsp; $9.25.</p>
<p class=""MsoNormal"" style=""text-align: justify;"">If you have a bigger budget for a <span class=""GRcorrect"">more</span> convenient and flexible Chicago exploration, then you may choose to hire <span class=""GRcorrect"">rent</span>-a-car services from Alamo, Avis, National, Hertz, Enterprise, Dollar, or Budget. Still, another convenient yet more expensive alternative transportation <span class=""GRcorrect"">is</span> taking a cab.</p>
<p class=""MsoNormal"" style=""text-align: justify;""><strong>Chicago&rsquo;s Finest </strong></p>
<p class=""MsoNormal"" style=""text-align: justify;"">Visit and appreciate Chicago&rsquo;s museums, Broadways, and gigs which are steeped in the American spirit. First in line of the must-see places is the Art of Institute of Chicago. It is the second-largest museum in the United States exhibiting more than 300,000 artworks which includes Grant Wood&rsquo;s famous American Gothic. The next museums you should visit are The Field Museum and Museum Campus, Chicago Cubs, and Museum of Science and Industry.</p>
<p class=""MsoNormal"" style=""text-align: justify;"">Another to-do item in the bucket list is to watch the hottest shows and gigs in Chicago. Get electrified and be entertained in Broadway in Chicago, Buddy Guy&rsquo;s Legends, and The Second City.</p>
<p class=""MsoNormal"" style=""text-align: justify;""><strong>Chicago&rsquo;s Highlights</strong></p>
<p class=""MsoNormal"" style=""text-align: justify;"">Chicago will not fail to boast its city&rsquo;s work-of-God landscape. Prepare your copper tone and bikinis for a dip at the Chicago Public Beaches where you can also play volleyball, jog, and picnic while being kissed by the sun. The beaches are always open for everyone in Chicago including the tourists for free.</p>
<p class=""MsoNormal"" style=""text-align: justify;"">Another popular destination is the Navy Pier which is known for an outdoor adventure. This is definitely exciting for family and friends as you altogether ride the Ferris wheel, dine on a cruise ship, and jam with the live performance at the open-air Skyline stage. You can also roam around the boardwalk to see the restaurants and souvenir shops.</p>
<p class=""MsoNormal"" style=""text-align: justify;"">In case you want to see the entire Chicago at one glance, John Hancock Observatory shall be your interactive telescope. You will see the best of the best bird&rsquo;s-eye views Chicago has to offer while sipping your cocktail at an altitude of 100 feet above the ground. You get to see all that you have to see without flexing your foot muscles plus you get to save from buying individual tickets.</p>
<p class=""MsoNormal"">I have done my part, now it&rsquo;s your turn to enjoy Chicago with everything planned in the bucket list!</p>",2013-03-13 15:00:29 UTC
